os1_id,path,class_label,ship_type,polarization,label,is_cargo,google_path
os1_00001,data/classification/os1/os1_00001.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00001.tif
os1_00002,data/classification/os1/os1_00002.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00002.tif
os1_00003,data/classification/os1/os1_00003.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00003.tif
os1_00004,data/classification/os1/os1_00004.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00004.tif
os1_00005,data/classification/os1/os1_00005.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00005.tif
os1_00006,data/classification/os1/os1_00006.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00006.tif
os1_00007,data/classification/os1/os1_00007.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00007.tif
os1_00008,data/classification/os1/os1_00008.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00008.tif
os1_00009,data/classification/os1/os1_00009.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00009.tif
os1_00010,data/classification/os1/os1_00010.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00010.tif
os1_00011,data/classification/os1/os1_00011.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00011.tif
os1_00012,data/classification/os1/os1_00012.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00012.tif
os1_00013,data/classification/os1/os1_00013.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00013.tif
os1_00014,data/classification/os1/os1_00014.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00014.tif
os1_00015,data/classification/os1/os1_00015.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00015.tif
os1_00016,data/classification/os1/os1_00016.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00016.tif
os1_00017,data/classification/os1/os1_00017.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00017.tif
os1_00018,data/classification/os1/os1_00018.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00018.tif
os1_00019,data/classification/os1/os1_00019.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00019.tif
os1_00020,data/classification/os1/os1_00020.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00020.tif
os1_00021,data/classification/os1/os1_00021.tif,Tanker,84,vh,tanker,0,/content/drive/MyDrive/classification/os1/os1_00021.tif
os1_00022,data/classification/os1/os1_00022.tif,Tanker,84,vv,tanker,0,/content/drive/MyDrive/classification/os1/os1_00022.tif
os1_00023,data/classification/os1/os1_00023.tif,Tanker,80,vh,tanker,0,/content/drive/MyDrive/classification/os1/os1_00023.tif
os1_00024,data/classification/os1/os1_00024.tif,Tanker,80,vv,tanker,0,/content/drive/MyDrive/classification/os1/os1_00024.tif
os1_00025,data/classification/os1/os1_00025.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00025.tif
os1_00026,data/classification/os1/os1_00026.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00026.tif
os1_00027,data/classification/os1/os1_00027.tif,Cargo,79,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00027.tif
os1_00028,data/classification/os1/os1_00028.tif,Cargo,79,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00028.tif
os1_00029,data/classification/os1/os1_00029.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00029.tif
os1_00030,data/classification/os1/os1_00030.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00030.tif
os1_00031,data/classification/os1/os1_00031.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00031.tif
os1_00032,data/classification/os1/os1_00032.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00032.tif
os1_00033,data/classification/os1/os1_00033.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00033.tif
os1_00034,data/classification/os1/os1_00034.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00034.tif
os1_00035,data/classification/os1/os1_00035.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00035.tif
os1_00036,data/classification/os1/os1_00036.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00036.tif
os1_00037,data/classification/os1/os1_00037.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00037.tif
os1_00038,data/classification/os1/os1_00038.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00038.tif
os1_00039,data/classification/os1/os1_00039.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00039.tif
os1_00040,data/classification/os1/os1_00040.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00040.tif
os1_00041,data/classification/os1/os1_00041.tif,Cargo,79,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00041.tif
os1_00042,data/classification/os1/os1_00042.tif,Cargo,79,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00042.tif
os1_00043,data/classification/os1/os1_00043.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00043.tif
os1_00044,data/classification/os1/os1_00044.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00044.tif
os1_00045,data/classification/os1/os1_00045.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os1/os1_00045.tif
os1_00046,data/classification/os1/os1_00046.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os1/os1_00046.tif
